,Date,inventory_id,price,discount,quantity
0,1/3/2012,C,359,14,185
1,1/4/2012,C,327,30,206
2,1/5/2012,A,334,18,239
3,1/6/2012,C,366,27,250
4,1/9/2012,A,327,6,197
5,1/10/2012,B,378,4,172
6,1/11/2012,A,343,0,205
7,1/12/2012,A,364,18,151
8,1/13/2012,C,315,24,231
9,1/17/2012,C,347,24,210
10,1/18/2012,A,313,8,230
11,1/19/2012,A,312,25,168
12,1/20/2012,A,380,15,158
13,1/23/2012,C,377,14,179
14,1/24/2012,A,378,22,227
15,1/25/2012,B,316,27,230
16,1/26/2012,C,306,0,158
17,1/27/2012,A,343,2,246
18,1/30/2012,C,368,11,207
19,1/31/2012,C,328,19,226
20,2/1/2012,B,302,26,161
21,2/2/2012,A,301,7,235
22,2/3/2012,A,365,24,161
23,2/6/2012,C,307,6,236
24,2/7/2012,B,314,22,189
25,2/8/2012,C,310,8,165
26,2/9/2012,C,327,27,238
27,2/10/2012,C,353,22,205
28,2/13/2012,B,307,7,214
29,2/14/2012,A,360,26,189
30,2/15/2012,C,314,24,181
31,2/16/2012,A,345,16,225
32,2/17/2012,C,361,27,168
33,2/21/2012,A,373,0,225
34,2/22/2012,B,301,10,210
35,2/23/2012,A,334,10,205
36,2/24/2012,B,379,19,175
37,2/27/2012,B,338,11,224
38,2/28/2012,C,370,0,183
39,2/29/2012,A,347,14,160
40,3/1/2012,C,367,26,249
41,3/2/2012,C,367,14,239
42,3/5/2012,A,309,1,176
43,3/6/2012,A,351,26,178
44,3/7/2012,A,347,0,218
45,3/8/2012,A,378,10,193
46,3/9/2012,C,342,29,188
47,3/12/2012,A,364,2,229
48,3/13/2012,C,349,23,205
49,3/14/2012,C,351,29,206
50,3/15/2012,C,356,16,248
51,3/16/2012,B,331,9,249
52,3/19/2012,B,317,27,167
53,3/20/2012,A,305,16,173
54,3/21/2012,A,354,5,158
55,3/22/2012,B,363,3,178
56,3/23/2012,C,369,4,172
57,3/26/2012,A,304,6,250
58,3/27/2012,A,337,22,244
59,3/28/2012,B,355,16,211
60,3/29/2012,B,368,9,228
61,3/30/2012,A,363,7,151
62,4/2/2012,B,342,4,182
63,4/3/2012,C,348,6,194
64,4/4/2012,A,315,24,199
65,4/5/2012,C,323,15,176
66,4/9/2012,A,366,24,163
67,4/10/2012,A,350,6,240
68,4/11/2012,B,346,2,168
69,4/12/2012,B,302,25,250
70,4/13/2012,B,340,13,219
71,4/16/2012,B,327,29,199
72,4/17/2012,A,345,30,165
73,4/18/2012,C,373,14,206
74,4/19/2012,A,304,13,234
75,4/20/2012,C,325,0,176
76,4/23/2012,C,307,13,249
77,4/24/2012,B,320,13,200
78,4/25/2012,A,321,23,210
79,4/26/2012,C,348,15,233
80,4/27/2012,B,371,5,250
81,4/30/2012,A,301,6,192
82,5/1/2012,C,308,2,240
83,5/2/2012,A,325,30,180
84,5/3/2012,B,328,4,204
85,5/4/2012,C,307,19,177
86,5/7/2012,B,359,23,241
