,Date,inventory_id,price,discount,quantity
0,1/3/2012,C,334,29,209
1,1/4/2012,C,323,25,225
2,1/5/2012,A,316,19,154
3,1/6/2012,C,333,13,212
4,1/9/2012,A,345,4,205
5,1/10/2012,B,335,9,245
6,1/11/2012,A,329,30,206
7,1/12/2012,A,340,16,155
8,1/13/2012,C,362,0,155
9,1/17/2012,C,313,22,180
10,1/18/2012,A,350,27,249
11,1/19/2012,A,365,18,187
12,1/20/2012,A,307,20,248
13,1/23/2012,C,324,12,195
14,1/24/2012,A,356,11,190
15,1/25/2012,B,312,14,199
16,1/26/2012,C,332,29,226
17,1/27/2012,A,316,1,225
18,1/30/2012,C,363,18,156
19,1/31/2012,C,310,6,204
20,2/1/2012,B,373,16,227
21,2/2/2012,A,379,8,212
22,2/3/2012,A,373,28,164
23,2/6/2012,C,357,12,161
24,2/7/2012,B,334,14,187
25,2/8/2012,C,347,23,160
26,2/9/2012,C,370,7,212
27,2/10/2012,C,323,2,241
28,2/13/2012,B,315,19,197
29,2/14/2012,A,324,0,165
30,2/15/2012,C,355,11,185
31,2/16/2012,A,338,27,201
32,2/17/2012,C,343,30,178
33,2/21/2012,A,325,7,235
34,2/22/2012,B,323,4,180
35,2/23/2012,A,363,15,242
36,2/24/2012,B,342,13,186
37,2/27/2012,B,352,6,246
38,2/28/2012,C,327,24,215
39,2/29/2012,A,345,30,213
40,3/1/2012,C,375,2,229
41,3/2/2012,C,378,0,166
42,3/5/2012,A,303,9,193
43,3/6/2012,A,334,14,179
44,3/7/2012,A,306,11,152
45,3/8/2012,A,376,29,178
46,3/9/2012,C,325,16,217
47,3/12/2012,A,373,1,185
48,3/13/2012,C,364,6,221
49,3/14/2012,C,315,14,225
50,3/15/2012,C,379,29,243
51,3/16/2012,B,358,5,237
52,3/19/2012,B,323,22,203
53,3/20/2012,A,374,28,156
54,3/21/2012,A,315,28,164
55,3/22/2012,B,378,5,166
56,3/23/2012,C,364,0,191
57,3/26/2012,A,346,13,162
58,3/27/2012,A,350,4,162
59,3/28/2012,B,300,28,188
60,3/29/2012,B,316,13,150
61,3/30/2012,A,372,12,246
62,4/2/2012,B,316,13,204
63,4/3/2012,C,318,18,219
64,4/4/2012,A,335,25,181
65,4/5/2012,C,312,21,227
66,4/9/2012,A,331,19,194
67,4/10/2012,A,365,20,155
68,4/11/2012,B,356,14,169
69,4/12/2012,B,334,13,219
70,4/13/2012,B,300,3,162
71,4/16/2012,B,366,9,219
72,4/17/2012,A,313,22,212
73,4/18/2012,C,303,18,191
74,4/19/2012,A,305,3,168
75,4/20/2012,C,306,15,248
76,4/23/2012,C,348,25,158
77,4/24/2012,B,324,23,239
78,4/25/2012,A,305,19,177
79,4/26/2012,C,378,10,157
80,4/27/2012,B,300,16,242
81,4/30/2012,A,364,0,183
82,5/1/2012,C,372,8,250
83,5/2/2012,A,307,28,156
84,5/3/2012,B,320,10,218
85,5/4/2012,C,345,11,190
86,5/7/2012,B,369,11,208
87,5/8/2012,C,305,28,236
88,5/9/2012,B,380,25,227
89,5/10/2012,A,359,23,225
90,5/11/2012,A,340,14,190
91,5/14/2012,A,373,17,207
92,5/15/2012,C,310,10,166
93,5/16/2012,C,309,30,242
94,5/17/2012,B,375,23,173
95,5/18/2012,B,310,26,240
96,5/21/2012,A,335,10,195
97,5/22/2012,A,330,9,183
98,5/23/2012,B,334,3,208
99,5/24/2012,B,369,13,193
100,5/25/2012,B,326,6,155
101,5/29/2012,C,317,22,168
102,5/30/2012,A,328,5,164
103,5/31/2012,C,364,28,247
104,6/1/2012,B,321,12,203
105,6/4/2012,A,300,12,193
106,6/5/2012,A,375,9,214
107,6/6/2012,A,300,22,224
108,6/7/2012,A,340,10,162
109,6/8/2012,C,328,15,158
110,6/11/2012,C,339,30,161
111,6/12/2012,B,314,4,233
112,6/13/2012,A,309,13,154
113,6/14/2012,B,326,19,195
114,6/15/2012,B,340,11,150
115,6/18/2012,A,314,7,172
116,6/19/2012,C,380,23,186
117,6/20/2012,C,307,3,184
118,6/21/2012,C,304,16,216
119,6/22/2012,B,374,12,249
120,6/25/2012,B,317,1,188
121,6/26/2012,B,325,25,202
122,6/27/2012,A,375,8,200
123,6/28/2012,B,302,26,208
124,6/29/2012,A,326,22,156
125,7/2/2012,C,308,11,207
126,7/3/2012,A,310,3,182
127,7/5/2012,C,369,3,191
128,7/6/2012,B,370,10,239
129,7/9/2012,C,304,11,190
130,7/10/2012,A,380,2,167
131,7/11/2012,A,327,1,164
132,7/12/2012,C,309,29,186
133,7/13/2012,B,371,0,230
134,7/16/2012,A,328,11,207
135,7/17/2012,B,354,6,160
136,7/18/2012,A,337,30,176
137,7/19/2012,A,321,12,184
138,7/20/2012,A,300,11,151
139,7/23/2012,A,311,1,235
140,7/24/2012,C,345,10,191
141,7/25/2012,A,331,6,212
142,7/26/2012,C,347,24,234
143,7/27/2012,A,321,13,233
144,7/30/2012,C,344,12,157
145,7/31/2012,B,325,30,222
146,8/1/2012,C,365,13,171
147,8/2/2012,B,378,10,227
148,8/3/2012,C,334,21,192
149,8/6/2012,B,362,18,221
150,8/7/2012,A,370,6,208
151,8/8/2012,A,326,29,179
152,8/9/2012,C,369,26,175
153,8/10/2012,A,354,15,169
154,8/13/2012,A,327,6,219
155,8/14/2012,B,300,25,249
156,8/15/2012,A,340,11,152
157,8/16/2012,A,352,23,207
158,8/17/2012,C,361,20,174
159,8/20/2012,C,317,1,246
160,8/21/2012,A,305,6,233
161,8/22/2012,B,349,5,209
162,8/23/2012,B,370,29,204
163,8/24/2012,B,325,4,193
164,8/27/2012,A,344,25,172
165,8/28/2012,B,308,5,176
166,8/29/2012,C,359,1,235
167,8/30/2012,A,340,22,181
168,8/31/2012,C,308,23,160
169,9/4/2012,C,331,14,234
170,9/5/2012,A,370,0,223
171,9/6/2012,A,328,19,193
172,9/7/2012,B,330,8,168
173,9/10/2012,B,376,5,198
174,9/11/2012,B,372,5,169
175,9/12/2012,A,312,21,236
176,9/13/2012,A,370,18,216
177,9/14/2012,A,337,22,250
178,9/17/2012,A,311,27,234
179,9/18/2012,C,317,5,245
180,9/19/2012,B,374,16,220
181,9/20/2012,B,346,17,169
182,9/21/2012,A,332,19,197
183,9/24/2012,C,311,20,167
184,9/25/2012,A,355,6,249
185,9/26/2012,C,319,3,155
186,9/27/2012,A,349,20,226
187,9/28/2012,B,356,8,240
188,10/1/2012,A,318,5,210
189,10/2/2012,C,326,22,167
190,10/3/2012,B,353,17,235
191,10/4/2012,C,342,28,224
192,10/5/2012,A,351,30,208
193,10/8/2012,B,335,2,204
194,10/9/2012,A,360,2,224
195,10/10/2012,C,341,12,225
196,10/11/2012,C,311,2,188
197,10/12/2012,B,351,16,181
198,10/15/2012,A,367,21,237
199,10/16/2012,C,306,11,219
200,10/17/2012,A,310,26,201
201,10/18/2012,C,324,19,235
202,10/19/2012,C,317,8,183
203,10/22/2012,C,325,29,165
204,10/23/2012,B,301,21,210
205,10/24/2012,B,364,21,177
206,10/25/2012,C,337,0,201
207,10/26/2012,B,310,17,178
208,10/31/2012,B,310,1,160
209,11/1/2012,C,313,11,154
210,11/2/2012,B,332,10,217
211,11/5/2012,B,326,30,195
212,11/6/2012,B,331,12,216
213,11/7/2012,B,344,27,175
214,11/8/2012,A,332,12,202
215,11/9/2012,B,348,22,176
216,11/12/2012,B,345,27,159
217,11/13/2012,A,328,19,198
218,11/14/2012,A,331,17,241
219,11/15/2012,B,361,23,197
220,11/16/2012,C,318,0,170
221,11/19/2012,C,339,30,203
222,11/20/2012,B,338,25,232
223,11/21/2012,C,347,11,187
224,11/23/2012,B,358,28,198
225,11/26/2012,A,314,23,249
226,11/27/2012,A,359,29,213
227,11/28/2012,A,338,24,217
228,11/29/2012,A,319,13,229
229,11/30/2012,C,358,24,219
230,12/3/2012,C,336,21,240
231,12/4/2012,A,312,4,210
232,12/5/2012,B,337,21,150
233,12/6/2012,B,334,5,203
234,12/7/2012,B,300,0,209
235,12/10/2012,C,339,26,240
236,12/11/2012,A,340,6,176
237,12/12/2012,B,357,21,156
238,12/13/2012,A,350,5,221
239,12/14/2012,A,376,23,233
240,12/17/2012,A,322,10,201
241,12/18/2012,A,321,14,168
242,12/19/2012,C,346,5,239
243,12/20/2012,A,369,17,220
244,12/21/2012,C,320,15,172
245,12/24/2012,B,332,14,181
246,12/26/2012,C,341,4,234
247,12/27/2012,B,300,12,221
248,12/28/2012,B,329,20,162
249,12/31/2012,A,328,25,190
250,1/2/2013,C,328,11,195
251,1/3/2013,B,316,10,240
252,1/4/2013,A,300,26,208
253,1/7/2013,C,377,10,206
254,1/8/2013,A,317,10,168
255,1/9/2013,B,350,21,174
256,1/10/2013,A,313,19,225
257,1/11/2013,C,310,28,162
258,1/14/2013,B,379,19,204
259,1/15/2013,A,316,19,173
260,1/16/2013,B,309,20,204
261,1/17/2013,A,339,7,199
262,1/18/2013,B,304,5,231
263,1/22/2013,C,334,6,210
264,1/23/2013,B,350,11,169
265,1/24/2013,B,319,11,202
266,1/25/2013,C,374,15,243
267,1/28/2013,A,313,13,248
268,1/29/2013,B,364,0,189
269,1/30/2013,B,305,14,212
270,1/31/2013,C,361,19,191
271,2/1/2013,A,342,28,213
272,2/4/2013,C,343,23,187
273,2/5/2013,C,301,20,244
274,2/6/2013,C,378,3,191
275,2/7/2013,B,327,23,152
276,2/8/2013,C,380,22,225
277,2/11/2013,C,347,30,161
278,2/12/2013,B,307,30,181
279,2/13/2013,C,307,21,238
280,2/14/2013,B,378,1,183
281,2/15/2013,B,348,22,250
282,2/19/2013,C,362,25,168
283,2/20/2013,B,370,2,236
284,2/21/2013,A,379,3,172
285,2/22/2013,A,353,16,167
286,2/25/2013,B,352,25,191
287,2/26/2013,A,323,27,194
288,2/27/2013,B,348,24,231
