,Date,inventory_id,price,discount,quantity
0,1/3/2012,C,303,29,250
1,1/4/2012,C,343,11,157
2,1/5/2012,A,307,26,247
3,1/6/2012,C,325,21,201
4,1/9/2012,A,314,2,200
5,1/10/2012,B,354,4,242
6,1/11/2012,A,302,29,182
7,1/12/2012,A,363,13,228
8,1/13/2012,C,377,30,174
9,1/17/2012,C,336,1,192
10,1/18/2012,A,315,9,233
11,1/19/2012,A,314,14,243
12,1/20/2012,A,369,26,225
13,1/23/2012,C,308,22,231
14,1/24/2012,A,355,12,163
15,1/25/2012,B,321,18,210
16,1/26/2012,C,320,2,236
17,1/27/2012,A,377,9,206
18,1/30/2012,C,339,14,153
19,1/31/2012,C,326,28,196
20,2/1/2012,B,371,23,244
21,2/2/2012,A,323,17,152
22,2/3/2012,A,365,25,173
23,2/6/2012,C,334,3,249
24,2/7/2012,B,333,20,178
25,2/8/2012,C,326,22,172
26,2/9/2012,C,372,7,172
27,2/10/2012,C,312,3,157
28,2/13/2012,B,351,2,154
29,2/14/2012,A,368,16,164
30,2/15/2012,C,327,7,213
31,2/16/2012,A,332,18,242
32,2/17/2012,C,368,17,155
33,2/21/2012,A,331,24,228
34,2/22/2012,B,350,6,156
35,2/23/2012,A,362,2,191
36,2/24/2012,B,340,6,226
37,2/27/2012,B,329,30,153
38,2/28/2012,C,334,30,243
39,2/29/2012,A,355,28,192
40,3/1/2012,C,326,27,158
41,3/2/2012,C,309,1,195
42,3/5/2012,A,372,29,171
43,3/6/2012,A,347,10,198
44,3/7/2012,A,349,19,183
45,3/8/2012,A,368,1,156
46,3/9/2012,C,354,28,180
47,3/12/2012,A,369,22,210
48,3/13/2012,C,368,6,163
49,3/14/2012,C,370,30,187
50,3/15/2012,C,316,27,234
51,3/16/2012,B,312,2,170
52,3/19/2012,B,317,2,239
53,3/20/2012,A,352,13,216
54,3/21/2012,A,365,19,156
55,3/22/2012,B,309,28,200
56,3/23/2012,C,375,27,167
57,3/26/2012,A,304,23,223
58,3/27/2012,A,336,10,202
59,3/28/2012,B,322,23,161
60,3/29/2012,B,368,12,157
61,3/30/2012,A,376,24,248
62,4/2/2012,B,363,1,191
63,4/3/2012,C,360,8,173
64,4/4/2012,A,311,3,246
65,4/5/2012,C,301,20,219
66,4/9/2012,A,362,8,170
67,4/10/2012,A,327,3,178
68,4/11/2012,B,378,7,221
69,4/12/2012,B,370,10,234
70,4/13/2012,B,364,24,238
71,4/16/2012,B,372,18,187
72,4/17/2012,A,355,28,161
73,4/18/2012,C,343,10,213
74,4/19/2012,A,346,19,224
75,4/20/2012,C,321,14,151
76,4/23/2012,C,308,1,233
77,4/24/2012,B,323,16,223
78,4/25/2012,A,357,6,241
79,4/26/2012,C,328,3,169
80,4/27/2012,B,338,5,207
81,4/30/2012,A,325,11,207
82,5/1/2012,C,329,22,233
83,5/2/2012,A,311,1,153
84,5/3/2012,B,310,30,197
85,5/4/2012,C,313,17,200
86,5/7/2012,B,352,23,194
87,5/8/2012,C,308,25,179
88,5/9/2012,B,343,14,184
89,5/10/2012,A,323,3,183
90,5/11/2012,A,320,19,172
91,5/14/2012,A,362,4,177
92,5/15/2012,C,308,20,164
93,5/16/2012,C,339,30,220
94,5/17/2012,B,356,29,232
95,5/18/2012,B,302,15,160
96,5/21/2012,A,376,19,229
97,5/22/2012,A,331,17,172
98,5/23/2012,B,329,15,169
99,5/24/2012,B,370,2,177
100,5/25/2012,B,351,9,239
101,5/29/2012,C,360,9,250
102,5/30/2012,A,368,27,210
103,5/31/2012,C,324,16,165
104,6/1/2012,B,367,11,216
105,6/4/2012,A,335,29,229
106,6/5/2012,A,373,14,229
107,6/6/2012,A,359,1,236
108,6/7/2012,A,356,29,150
109,6/8/2012,C,311,24,210
110,6/11/2012,C,378,29,166
111,6/12/2012,B,341,7,188
112,6/13/2012,A,306,22,169
113,6/14/2012,B,374,21,179
114,6/15/2012,B,376,28,250
115,6/18/2012,A,349,19,239
116,6/19/2012,C,305,29,178
117,6/20/2012,C,306,9,152
118,6/21/2012,C,336,26,150
119,6/22/2012,B,344,25,174
120,6/25/2012,B,344,28,242
121,6/26/2012,B,345,28,162
122,6/27/2012,A,307,2,185
123,6/28/2012,B,350,18,196
124,6/29/2012,A,310,2,247
125,7/2/2012,C,368,17,172
126,7/3/2012,A,344,30,232
127,7/5/2012,C,361,4,164
128,7/6/2012,B,357,2,202
129,7/9/2012,C,334,8,246
130,7/10/2012,A,352,17,242
131,7/11/2012,A,380,29,180
132,7/12/2012,C,323,16,203
133,7/13/2012,B,376,6,229
134,7/16/2012,A,301,21,236
135,7/17/2012,B,336,20,246
136,7/18/2012,A,365,29,202
137,7/19/2012,A,353,3,230
138,7/20/2012,A,306,8,206
139,7/23/2012,A,327,23,247
140,7/24/2012,C,304,30,216
141,7/25/2012,A,322,30,222
142,7/26/2012,C,319,0,171
143,7/27/2012,A,368,20,206
144,7/30/2012,C,308,7,244
145,7/31/2012,B,316,26,225
146,8/1/2012,C,307,4,217
147,8/2/2012,B,352,2,189
148,8/3/2012,C,315,14,217
149,8/6/2012,B,349,8,205
150,8/7/2012,A,343,13,157
