Date,inventory_id,price,discount,quantity
1/3/2012,C,326,5,216
1/4/2012,C,352,24,163
1/5/2012,A,309,2,240
1/6/2012,C,351,9,228
1/9/2012,A,358,5,189
1/10/2012,B,366,25,212
1/11/2012,A,340,24,197
1/12/2012,A,313,7,152
1/13/2012,C,323,20,197
1/17/2012,C,367,4,207
1/18/2012,A,368,21,165
1/19/2012,A,377,11,183
1/20/2012,A,362,24,194
1/23/2012,C,347,6,240
1/24/2012,A,327,29,199
1/25/2012,B,356,27,207
1/26/2012,C,335,28,231
1/27/2012,A,322,11,158
1/30/2012,C,308,28,160
1/31/2012,C,358,9,235
2/1/2012,B,374,21,247
2/2/2012,A,340,12,247
2/3/2012,A,325,13,217
2/6/2012,C,326,17,199
2/7/2012,B,334,27,240
2/8/2012,C,334,27,158
2/9/2012,C,308,10,159
2/10/2012,C,306,10,232
2/13/2012,B,347,17,217
2/14/2012,A,321,18,228
2/15/2012,C,351,11,155
2/16/2012,A,351,30,245
2/17/2012,C,339,17,202
2/21/2012,A,378,22,159
2/22/2012,B,360,8,216
2/23/2012,A,334,25,236
2/24/2012,B,354,18,234
2/27/2012,B,367,6,158
2/28/2012,C,374,14,226
2/29/2012,A,313,26,239
3/1/2012,C,325,3,168
3/2/2012,C,360,2,231
3/5/2012,A,317,4,233
3/6/2012,A,304,8,183
3/7/2012,A,352,11,237
3/8/2012,A,350,7,152
3/9/2012,C,371,17,203
3/12/2012,A,322,19,238
3/13/2012,C,304,6,159
3/14/2012,C,367,10,169
3/15/2012,C,358,7,194
3/16/2012,B,358,26,221
3/19/2012,B,307,27,181
3/20/2012,A,339,14,218
3/21/2012,A,352,8,185
3/22/2012,B,368,13,199
3/23/2012,C,358,24,186
3/26/2012,A,322,28,181
3/27/2012,A,372,13,173
3/28/2012,B,332,2,241
3/29/2012,B,327,30,236
3/30/2012,A,339,25,192
4/2/2012,B,308,26,242
4/3/2012,C,319,22,206
4/4/2012,A,352,2,162
4/5/2012,C,308,20,208
4/9/2012,A,378,1,220
4/10/2012,A,335,23,163
4/11/2012,B,342,26,187
4/12/2012,B,325,26,187
4/13/2012,B,330,17,161
4/16/2012,B,346,2,172
4/17/2012,A,306,5,214
4/18/2012,C,380,14,221
4/19/2012,A,355,2,196
4/20/2012,C,371,12,197
4/23/2012,C,338,16,245
4/24/2012,B,341,11,225
4/25/2012,A,377,2,242
4/26/2012,C,360,4,164
4/27/2012,B,336,4,221
4/30/2012,A,376,6,237
5/1/2012,C,320,4,208
5/2/2012,A,364,20,230
5/3/2012,B,365,16,219
5/4/2012,C,336,11,191
5/7/2012,B,334,9,182
5/8/2012,C,311,3,200
5/9/2012,B,348,27,209
5/10/2012,A,325,16,167
5/11/2012,A,317,17,231
5/14/2012,A,326,18,220
5/15/2012,C,352,28,186
5/16/2012,C,377,3,198
